feature,feature value,n_samples,precision,recall,fbeta
marital-status,Widowed,198,0.8,0.2222222222222222,0.34782608695652173
marital-status,Married-AF-spouse,6,0.5,0.3333333333333333,0.4
feature,feature value,n_samples,precision,recall,fbeta
occupation,Protective-serv,124,0.59375,0.59375,0.59375
occupation,Exec-managerial,822,0.7927710843373494,0.7852028639618138,0.7889688249400479
occupation,Craft-repair,845,0.7142857142857143,0.30612244897959184,0.42857142857142855
occupation,Sales,696,0.6963350785340314,0.7074468085106383,0.7018469656992085
occupation,Machine-op-inspct,420,0.631578947368421,0.24,0.34782608695652173
occupation,Other-service,656,0.625,0.2,0.30303030303030304
occupation,Transport-moving,326,0.6590909090909091,0.42028985507246375,0.5132743362831859
occupation,Prof-specialty,801,0.7783783783783784,0.8181818181818182,0.7977839335180056
occupation,Farming-fishing,190,0.8181818181818182,0.34615384615384615,0.4864864864864865
occupation,Adm-clerical,761,0.6021505376344086,0.6153846153846154,0.6086956521739131
occupation,?,371,0.7647058823529411,0.5306122448979592,0.6265060240963856
occupation,Handlers-cleaners,305,0.875,0.3333333333333333,0.4827586206896552
occupation,Tech-support,175,0.6610169491525424,0.78,0.7155963302752294
occupation,Priv-house-serv,21,1.0,1.0,1.0
feature,feature value,n_samples,precision,recall,fbeta
relationship,Other-relative,201,0.625,0.5555555555555556,0.5882352941176471
relationship,Unmarried,698,0.8421052631578947,0.38095238095238093,0.5245901639344263
relationship,Husband,2631,0.7532588454376163,0.68040370058873,0.7149801148917366
relationship,Not-in-family,1678,0.7053571428571429,0.4619883040935672,0.558303886925795
relationship,Wife,307,0.6713286713286714,0.6857142857142857,0.6784452296819788
relationship,Own-child,998,0.5833333333333334,0.4117647058823529,0.4827586206896552
feature,feature value,n_samples,precision,recall,fbeta
race,White,5534,0.7445432497978981,0.6485915492957747,0.693263078660143
race,Black,655,0.7058823529411765,0.6153846153846154,0.6575342465753424
race,Asian-Pac-Islander,195,0.68,0.6296296296296297,0.6538461538461539
race,Other,54,0.3333333333333333,0.2,0.25
race,Amer-Indian-Eskimo,75,0.8,0.7272727272727273,0.7619047619047619
feature,feature value,n_samples,precision,recall,fbeta
sex,Male,4348,0.7497879558948262,0.6528803545051699,0.697986577181208
sex,Female,2165,0.6772486772486772,0.5981308411214953,0.6352357320099256
feature,feature value,n_samples,precision,recall,fbeta
native-country,United-States,5837,0.7423510466988728,0.6420612813370473,0.6885735623599701
native-country,Canada,30,0.8181818181818182,0.8181818181818182,0.8181818181818182
native-country,?,120,0.7083333333333334,0.5862068965517241,0.6415094339622641
native-country,Mexico,129,0.6,0.375,0.46153846153846156
native-country,Italy,12,1.0,0.5,0.6666666666666666
native-country,Poland,8,1.0,0.6666666666666666,0.8
native-country,Dominican-Republic,16,1.0,1.0,1.0
native-country,France,4,1.0,1.0,1.0
native-country,Germany,31,0.8888888888888888,0.7272727272727273,0.8
native-country,El-Salvador,25,1.0,1.0,1.0
native-country,India,31,0.5333333333333333,0.8888888888888888,0.6666666666666666
native-country,Columbia,18,0.3333333333333333,1.0,0.5
native-country,Guatemala,9,1.0,1.0,1.0
native-country,Jamaica,18,0.0,0.0,0.0
native-country,Peru,4,1.0,1.0,1.0
native-country,Honduras,3,1.0,1.0,1.0
native-country,Vietnam,13,1.0,1.0,1.0
native-country,Yugoslavia,5,0.5,0.5,0.5
native-country,Hungary,4,0.5,1.0,0.6666666666666666
native-country,Outlying-US(Guam-USVI-etc),2,1.0,1.0,1.0
native-country,Japan,16,0.8,0.6666666666666666,0.7272727272727273
native-country,South,9,0.0,0.0,0.0
native-country,Thailand,3,1.0,1.0,1.0
native-country,Philippines,31,1.0,0.6363636363636364,0.7777777777777778
native-country,England,21,0.75,0.75,0.75
native-country,China,13,1.0,1.0,1.0
native-country,Taiwan,8,0.75,1.0,0.8571428571428571
native-country,Trinadad&Tobago,6,0.5,1.0,0.6666666666666666
native-country,Cuba,13,1.0,1.0,1.0
native-country,Greece,4,1.0,1.0,1.0
native-country,Ecuador,2,1.0,1.0,1.0
native-country,Ireland,9,1.0,0.3333333333333333,0.5
native-country,Hong,5,0.0,1.0,0.0
native-country,Cambodia,2,1.0,0.0,0.0
native-country,Haiti,9,1.0,1.0,1.0
native-country,Puerto-Rico,16,0.0,1.0,0.0
native-country,Iran,9,0.75,0.75,0.75
native-country,Portugal,6,1.0,1.0,1.0
native-country,Scotland,5,1.0,1.0,1.0
native-country,Nicaragua,5,1.0,1.0,1.0
native-country,Laos,2,1.0,1.0,1.0
